"COD_PAI","COD_TIPINT","CNT_TIPINT","ANNO_EFF","MESE_EFF","ANNO","COD_IMP","BDG_PREV_EUR","BDG_PREV_QTA","BDG_CONS_EUR","BDG_CONS_QTA","ID_FATT_DETTAGLIO","BDG_CONS_QTA_BENEF","BDG_CONS_VAR","CAUS_VAR","NOTE","FLG_PROP","ID_MAN_DETTAGLIO","GG_ASSENZA","IMP_VAR","MOTIVAZIONE_VARIAZIONE_SPESA","ID_PARAM_FASCIA","ACQUISITO","BDG_CONS_RIENTR","COD_IMP_PROROGA"
22829263,AZ014,1,2014,10,2014,"116",583.68,48,,,,,,,,N,,,,,343,1,,
22841074,EC003,1,2014,11,2014,"1273/2014",200,200,200,200,,200,,,,N,22864857,0,,,468,0,,
22471130,EC003,9,2014,11,2014,"1273/2014",500,500,500,500,,500,,,,N,22864997,0,,,11,0,,
22829263,AZ014,1,2014,11,2014,"116",583.68,48,,,,,,,,N,,,,,343,1,,
22829263,AZ014,1,2014,12,2014,"116",583.68,48,,,,,,,,N,,,,,343,1,,
22829263,AZ012,1,2014,8,2014,"116",0,0,0,0,,,,,,N,,,,,343,0,,
22829263,AZ012,1,2014,9,2014,"116",343.2,30,,,,,,,,N,,,,,343,1,,
22808413,EC001,2,0,0,2014,"1273/2014",0,600,0,0,,0,,,,S,,,,,11,0,,
22829263,AZ012,1,2014,10,2014,"116",343.2,30,0,0,,0,,,,N,,0,,,343,1,,
22829263,AZ012,1,2014,11,2014,"116",343.2,30,,,,,,,,N,,,,,343,1,,
22829263,AZ012,1,2014,12,2014,"116",343.2,30,343.2,30,,30,,,,N,,0,,,343,1,,
22436316,AZ014,4,2014,8,2014,"116",583.68,48,583.68,48,,,,,,N,,,,,341,0,,
22436316,AZ014,4,2014,9,2014,"116",583.68,48,,,,,,,,N,,,,,341,1,,
22436316,AZ014,4,2014,10,2014,"116",583.68,48,,,,,,,,N,,,,,341,1,,
22436316,AZ014,4,2014,11,2014,"116",583.68,48,,,,,,,,N,,,,,341,1,,
22436316,AZ014,4,2014,12,2014,"116",583.68,48,,,,,,,,N,,,,,341,1,,
22436316,AZ013,1,2014,8,2014,"116",112.74,6,112.74,6,,,,,,N,,,,,341,0,,
22436316,AZ013,1,2014,9,2014,"116",75.16,4,,,,,,,,N,,,,,341,1,,
22436316,AZ013,1,2014,10,2014,"116",75.16,4,72.54,6,,6,,,,N,,0,,,341,1,,
22436316,AZ013,1,2014,11,2014,"116",75.16,4,72.54,6,,6,,,,N,,0,,,341,1,,
22436316,AZ013,1,2014,12,2014,"116",75.16,4,72.54,6,,6,,,,N,,0,,,341,1,,
22401989,AZ014,5,2014,8,2014,"116",194.56,16,194.56,16,,,,,,N,,,,,11,0,,
22401989,AZ014,5,2014,9,2014,"116",194.56,16,,,,,,,,N,,,,,11,1,,
22401989,AZ014,5,2014,10,2014,"116",194.56,16,,,,,,,,N,,,,,11,1,,
22401989,AZ014,5,2014,11,2014,"116",194.56,16,,,,,,,,N,,,,,11,1,,
22401989,AZ014,5,2014,12,2014,"116",0,0,0,0,,,,,,N,,,,,11,0,,
22401989,AZ013,6,2014,8,2014,"116",75.16,4,75.16,4,,,,,,N,,,,,11,0,,
